Sample-ID	sample-name	location	treatment	location+treatment
#q2:types	categorical	categorical	categorical	categorical
CO2_1	CO2-1	soil	eCO2	eCO2-Soil
CO2_2	CO2-1	soil	eCO2	eCO2-Soil
CO2_3	CO2-3	soil	eCO2	eCO2-Soil
Control_1	Control-1	soil	control	control-Soil
Control_2	Control-2	soil	control	control-Soil
Control_3	Control-3	soil	control	control-Soil
Flood_1	Flood-1	Soil	flooding	flood-Soil
Flood_2	Flood-2	Soil	flooding	flood-Soil
Flood_3	Flood-3	Soil	flooding	flood-Soil
F_C_1	Flood+eCO2-1	Soil	flooding+eCO2	flood+eCO2-Soil
F_C_2	Flood+eCO2-2	Soil	flooding+eCO2	flood+eCO2-Soil
F_C_3	Flood+eCO2-3	Soil	flooding+eCO2	flood+eCO2-Soil
CO2_L1	CO2_1	Shoot	eCO2	eCO2-Shoot
CO2_L2	CO2_2	Shoot	eCO2	eCO2-Shoot
CO2_L3	CO2_3	Shoot	eCO2	eCO2-Shoot
CO2_R1	CO2_1	Root	eCO2	eCO2-Root
CO2_R2	CO2_2	Root	eCO2	eCO2-Root
CO2_R3	CO2_3	Root	eCO2	eCO2-Root
FC_L1	FCO2_1	Shoot	flooding+eCO2	flooding+eCO2-Shoot
FC_L2	FCO2_2	Shoot	flooding+eCO2	flooding+eCO2-Shoot
FC_L3	FCO2_3	Shoot	flooding+eCO2	flooding+eCO2-Shoot
FC_R1	FCO2_1	Root	flooding+eCO2	flooding+eCO2-Root
FC_R2	FCO2_2	Root	flooding+eCO2	flooding+eCO2-Root
FC_R3	FCO2_3	Root	flooding+eCO2	flooding+eCO2-Root
FL1	FL1	Shoot	flooding	flooding-Shoot
FL2	FL2	Shoot	flooding	flooding-Shoot
FL3	FL3	Shoot	flooding	flooding-Shoot
FR1	FR1	Root	flooding	flooding-Root
FR2	FR2	Root	flooding	flooding-Root
FR3	FR3	Root	flooding	flooding-Root
L1C	L1C	Shoot	control	control-Shoot
L2C	L2C	Shoot	control	control-Shoot
L3C	L3C	Shoot	control	control-Shoot
R1C	R1C	Root	control	control-Root
R2C	R2C	Root	control	control-Root
R3C	R3C	Root	control	control-Root
