Sample-ID	sample-name	location	treatment	location+treatment
#q2:types	categorical	categorical	categorical	categorical
CO2_1	CO2_1	soil	eCO2	eCO2-Soil
CO2_3	CO2_3	soil	eCO2	eCO2-Soil
Control_1	Control_1	soil	control	control-Soil
Control_2	Control_2	soil	control	control-Soil
F_C_1	Flooding+CO2_1	soil	flooding+eCO2	flood+eCO2-Soil
F_C_2	Flooding+CO2_2	soil	flooding+eCO2	flood+eCO2-Soil
F_C_3	Flooding+CO2_3	soil	flooding+eCO2	flood+eCO2-Soil
Flood_1	Flooding_1	soil	flooding	flooding-Soil
Flood_2	Flooding_2	soil	flooding	flooding-Soil
Flood_3	Flooding_3	soil	flooding	flooding-Soil
CO2_L1	CO2_L1	Shoot	eCO2	eCO2-Shoot
CO2_L2	CO2_L2	Shoot	eCO2	eCO2-Shoot
CO2_L3	CO2_L3	Shoot	eCO2	eCO2-Shoot
CO2_R1	CO2_R1	Root	eCO2	eCO2-Root
CO2_R2	CO2_R2	Root	eCO2	eCO2-Root
CO2_R3	CO2_R3	Root	eCO2	eCO2-Root
FCO2_L1	FCO2_L1	Shoot	flooding+eCO2	flood+eCO2-Shoot
FCO2_L2	FCO2_L2	Shoot	flooding+eCO2	flood+eCO2-Shoot
FCO2_L3	FCO2_L3	Shoot	flooding+eCO2	flood+eCO2-Shoot
FCO2_R1	FCO2_R1	Root	flooding+eCO2	flood+eCO2-Root
FCO2_R2	FCO2_R2	Root	flooding+eCO2	flood+eCO2-Root
FCO2_R3	FCO2_R3	Root	flooding+eCO2	flood+eCO2-Root
FL1	FL1	Shoot	flooding	flooding-Shoot
FL2	FL2	Shoot	flooding	flooding-Shoot
FL3	FL3	Shoot	flooding	flooding-Shoot
FR1	FR1	Root	flooding	flooding-Root
FR2	FR2	Root	flooding	flooding-Root
FR3	FR3	Root	flooding	flooding-Root
L1C	L1C	Shoot	control	control-Shoot
L2C	L2C	Shoot	control	control-Shoot
L3C	L3C	Shoot	control	control-Shoot
R1C	R1C	Root	control	control-Root
R2C	R2C	Root	control	control-Root
R3C	R3C	Root	control	control-Root
